Date,Time,Weekday,To Home,To Work
2016-10-20,19:45,Thursday,40 mins,28 mins
2016-10-20,19:50,Thursday,38 mins,28 mins
2016-10-20,19:55,Thursday,39 mins,27 mins
2016-10-20,23:00,Thursday,27 mins,36 mins
2016-10-20,23:05,Thursday,26 mins,36 mins
2016-10-20,23:10,Thursday,27 mins,36 mins
2016-10-20,23:15,Thursday,26 mins,37 mins
2016-10-20,23:20,Thursday,26 mins,35 mins
2016-10-20,23:25,Thursday,26 mins,35 mins
2016-10-20,23:30,Thursday,26 mins,34 mins
2016-10-20,23:35,Thursday,25 mins,33 mins
2016-10-20,23:40,Thursday,25 mins,32 mins
2016-10-20,23:45,Thursday,25 mins,31 mins
2016-10-20,23:50,Thursday,26 mins,30 mins
2016-10-20,23:55,Thursday,26 mins,29 mins
2016-10-21,05:00,Friday,25 mins,25 mins
2016-10-21,05:05,Friday,25 mins,25 mins
2016-10-21,05:10,Friday,25 mins,25 mins
2016-10-21,05:15,Friday,25 mins,25 mins
2016-10-21,05:20,Friday,25 mins,25 mins
2016-10-21,05:25,Friday,25 mins,25 mins
2016-10-21,05:30,Friday,25 mins,25 mins
2016-10-21,05:35,Friday,25 mins,25 mins
2016-10-21,05:40,Friday,26 mins,25 mins
2016-10-21,05:45,Friday,25 mins,26 mins
2016-10-21,05:50,Friday,26 mins,25 mins
2016-10-21,05:55,Friday,27 mins,26 mins
2016-10-21,06:00,Friday,27 mins,26 mins
2016-10-21,06:05,Friday,28 mins,27 mins
2016-10-21,06:10,Friday,29 mins,28 mins
2016-10-21,06:15,Friday,33 mins,31 mins
2016-10-21,06:20,Friday,36 mins,33 mins
2016-10-21,06:25,Friday,38 mins,34 mins
2016-10-21,06:30,Friday,39 mins,37 mins
2016-10-21,06:35,Friday,42 mins,39 mins
2016-10-21,06:40,Friday,44 mins,38 mins
2016-10-21,06:45,Friday,45 mins,39 mins
2016-10-21,06:50,Friday,45 mins,40 mins
2016-10-21,06:55,Friday,46 mins,38 mins
2016-10-21,07:00,Friday,51 mins,40 mins
2016-10-21,07:05,Friday,50 mins,41 mins
2016-10-21,07:10,Friday,52 mins,41 mins
2016-10-21,07:15,Friday,50 mins,42 mins
2016-10-21,07:20,Friday,51 mins,43 mins
2016-10-21,07:25,Friday,52 mins,44 mins
2016-10-21,07:30,Friday,53 mins,42 mins
2016-10-21,07:35,Friday,56 mins,41 mins
2016-10-21,07:40,Friday,57 mins,40 mins
2016-10-21,07:45,Friday,59 mins,40 mins
2016-10-21,07:50,Friday,1 hour 0 mins,40 mins
2016-10-21,07:55,Friday,56 mins,39 mins
2016-10-21,17:00,Friday,1 hour 5 mins,52 mins
2016-10-21,17:05,Friday,1 hour 5 mins,51 mins
2016-10-21,17:10,Friday,1 hour 6 mins,48 mins
2016-10-21,17:15,Friday,1 hour 9 mins,48 mins
2016-10-21,17:20,Friday,1 hour 7 mins,49 mins
2016-10-21,17:25,Friday,1 hour 5 mins,47 mins
2016-10-21,17:30,Friday,1 hour 0 mins,46 mins
2016-10-21,17:35,Friday,1 hour 4 mins,46 mins
2016-10-21,17:40,Friday,1 hour 2 mins,44 mins
2016-10-21,17:45,Friday,58 mins,44 mins
2016-10-21,17:50,Friday,55 mins,45 mins
2016-10-21,17:55,Friday,53 mins,43 mins
2016-10-21,18:00,Friday,49 mins,44 mins
2016-10-21,18:05,Friday,46 mins,43 mins
2016-10-21,18:10,Friday,45 mins,41 mins
2016-10-21,18:15,Friday,44 mins,42 mins
2016-10-21,18:20,Friday,43 mins,43 mins
2016-10-21,18:25,Friday,44 mins,40 mins
2016-10-21,18:30,Friday,42 mins,39 mins
2016-10-21,18:35,Friday,42 mins,39 mins
2016-10-21,18:40,Friday,42 mins,39 mins
2016-10-21,18:45,Friday,41 mins,39 mins
2016-10-21,18:50,Friday,41 mins,40 mins
2016-10-21,18:55,Friday,42 mins,38 mins
2016-10-21,19:00,Friday,42 mins,37 mins
2016-10-21,19:05,Friday,42 mins,36 mins
2016-10-21,19:10,Friday,43 mins,38 mins
2016-10-21,19:15,Friday,41 mins,37 mins
2016-10-21,19:20,Friday,39 mins,38 mins
2016-10-21,19:25,Friday,39 mins,38 mins
2016-10-21,19:30,Friday,38 mins,36 mins
2016-10-21,19:35,Friday,38 mins,37 mins
2016-10-21,19:40,Friday,37 mins,34 mins
2016-10-21,19:45,Friday,37 mins,34 mins
2016-10-21,19:50,Friday,35 mins,33 mins
2016-10-21,19:55,Friday,35 mins,32 mins
2016-10-21,23:00,Friday,27 mins,27 mins
2016-10-21,23:05,Friday,28 mins,26 mins
2016-10-21,23:10,Friday,27 mins,29 mins
2016-10-21,23:15,Friday,27 mins,30 mins
2016-10-21,23:20,Friday,27 mins,29 mins
